event_id,timestamp,domain,severity,impact_type,confidence_score,summary
789c2072-68e7-4585-8291-b6926275f884,2025-12-05T02:01:07.365866,meteorological,low,opportunity,0.2,Jaffna: Live @25 Extreme Weather - 02.12.2025
3b2305d2-0ca5-4b66-8070-957b9be054a6,2025-12-05T02:01:08.101257,meteorological,low,opportunity,0.2,Jaffna: Live @25 Extreme Weather - 03.12.2025
63c6d931-f8e6-4a77-aa8c-5316fa8326fe,2025-12-05T02:01:08.817375,meteorological,high,risk,0.15,Trincomalee: NEW WEATHER WARNING – HEAVY RAIN & STRONG WINDS… See more
6612a1be-4cdb-4ca7-9c65-c6df84bf339f,2025-12-05T02:01:09.484462,political,high,risk,0.15,"Sri Lanka Political: While the Wickremesinghe government won plaudits abroad for its handling of the economic crisis, at home the language of the National People’s Power resonated with a population increasingly disgruntle"
864af59d-0143-42bb-a954-616f2fdd4b36,2025-12-05T02:01:10.182662,political,high,risk,0.15,"Sri Lanka Political: Wickremesinghe was brought before a commission in the late 1990s over the torture camp allegations, but nothing came out of it. The National People’s Power made several insinuations about the Rajapaks"
d208856e-37ac-4157-8efb-9c662dbd18d5,2025-12-05T02:01:10.855107,political,high,risk,0.15,"Sri Lanka Political: It is not quite a miracle. But it is certainly a very impressive turnaround. From around 1970 until 2021, Sri Lanka seemed to be on an irreversible track toward steadily worsening governance: grand co"
d8e11c1f-e199-470b-a09f-d91fbf769bbe,2025-12-05T02:01:11.526811,economical,medium,risk,0.05,"Sri Lanka Economy (Technology): Qualcomm acquires Arduino, launches the new Arduino UNO Q single-board computer"
d9aef161-42a3-4078-a95e-573c7fa7ed12,2025-12-05T02:01:12.222806,economical,medium,risk,0.05,"Sri Lanka Economy (Technology): BREAKING NEWS! Qualcomm acquires Arduino, launches the new Arduino UNO Q single-board computer. … See more"
e2e9eaa2-8a76-40f4-ad90-2f7419501180,2025-12-05T02:01:12.909677,economical,medium,risk,0.05,Sri Lanka Economy (Technology): Highlights from #NITC2025 – Sri Lanka’s Premier Tech Conference!… See more
93fbcd04-515e-4756-a34e-282e9c9491c8,2025-12-05T02:01:13.530930,economical,medium,risk,0.05,"Sri Lanka Economy (Technology): Discover exciting destinations around the world with Minor Hotels, from island retreats to urban escapes and beyond."
0a5e85c7-cc79-4608-95a8-524d7808abb4,2025-12-05T02:01:14.134103,economical,medium,risk,0.05,"Sri Lanka Economy (Technology): In a landmark move for Sri Lanka’s renewable energy sector, Macksons Solar, in collaboration with Macktiles, unveiled the country’s largest rooftop solar project at the… See more"
6e2642e1-83dd-443e-8f03-bc68361b8d2a,2025-12-05T02:01:14.827471,economical,medium,risk,0.05,"Sri Lanka Economic Summary: **Executive Summary**

Sri Lanka’s All‑Share Price Index (ASPI) is trading near 6.67, a modest rise from the 6.66 opening, and has posted a recent intraday high of 6.81. Trading volume remains robust, with 3.2 million shares exchanged on the latest session, indicating healthy liquidity. Despite the "
b7407517-d4a9-4cdd-a718-b623696fc769,2025-12-05T02:01:15.492877,intelligence,medium,risk,0.05,"Business Intelligence Summary: **Strategic Summary – Sri Lanka Telecom Landscape**

| Category | Highlights |
|----------|------------|
| **Intelligence Scope** | 18 items collected; 5 local intel pieces; no global intel. |
| **Competitors Covered** | DialogLK, SLTMobitel, HutchSriLanka, DialogAxiata, dialog‑axiata, slt‑mobitel. "
9e8a60ac-cf60-4dc5-8ee0-7cebeda80094,2025-12-05T02:01:16.118187,meteorological,medium,risk,0.05,"Sri Lanka Meteorological Summary: **Executive Summary – Sri Lanka Weather (05 Dec 2025)**  
The national forecast indicates the gradual onset of the Northeast monsoon, with widespread showers and occasional thundershowers across the island. Heavy rainfall (exceeding 75 mm) is expected in the Western and Sabaragamuwa provinces, parti"
49bf8f98-e0cb-43b2-896b-427e3f40f176,2025-12-05T02:01:16.777890,political,medium,risk,0.05,"Sri Lanka Political: 1,289 வீடுகள் முற்றிலுமாக அழிக்கப்பட்டுள்ளது -  வீடமைப்பு அபிவிருத்தி அதிகார சபை ஜனாதிபதியிடம் தெரிவிப்பு
#VoiceTube #voicetubetamil #voicetubetamilsrilanka #SriLankaPolitics #TamilNews"
23290f3b-2757-4203-8c1c-73469b6138ab,2025-12-05T02:01:17.421135,political,medium,risk,0.05,"Sri Lanka Political: Politics and Lankan Dads? It's the perfect mix!🫱🏼‍🫲🏽

Here's a rundown of the Types of Dads and their Politics😎 Have we captured them all? Let us know in the comments!

#Politicslk #typesofdads #Srila"
37c930ec-a479-429d-9958-2d5a8c6065fd,2025-12-05T02:01:18.062401,political,medium,risk,0.05,Sri Lanka Political: Sri Lanka Travel Update – Important Information for Visitors (December 2025)… See more
67ae0cab-cabb-4a44-b7b2-428e53213a7a,2025-12-05T02:01:18.722304,political,medium,risk,0.05,"Galle Political: INFINITY Nature Villa - Galle Twon
Make yourself at Home.....… See more"
7997c80c-3d37-4142-b8c8-d1b7de2fd58f,2025-12-05T02:01:19.421517,political,medium,risk,0.05,Kurunegala Political: The #Coco_Forest_Camping project - Kurunegala we are  launching in soon... This is the presenting of new idea for the newly developing Tourism Industry in the Kurunegala district of the North Western 
4266b2be-16cb-489b-813c-46d3dc9bce6a,2025-12-05T02:01:20.103781,political,medium,risk,0.05,"Sri Lanka Political: Our Sweet Guests from ....
Netherlands
Relax S… See more"
96d7144e-58a2-46f0-a3fa-6abe77d39d63,2025-12-05T02:01:20.874179,political,medium,risk,0.05,"Kurunegala Political: WE ARE HIRING – COMMUNITY MOBILISER
Sri Lanka Red Cross Society – Kurunegala Branch… See more"
2610e00b-877b-4188-a7c9-ef00bae025f8,2025-12-05T02:01:21.642508,political,medium,risk,0.05,"Sri Lanka Political Summary: **Executive Summary**

1. Former Prime Minister Ranil Wickremesinghe’s arrest has sparked a surge of domestic discontent, amplifying the National People’s Power’s narrative of elite corruption.  
2. Despite international praise for his crisis management, the opposition’s sweeping victories in all bu"
911ce6d1-d8a6-4e3e-8829-d86ea1114e1e,2025-12-05T02:01:22.861626,social,medium,risk,0.05,Asia Regional: Proud to Belong to a Region That Never Let Us Fall
1681b9bc-b0df-44f1-8fec-6a1af1a1f306,2025-12-05T02:01:23.599598,social,medium,risk,0.05,Asia Regional: Hitchhiking from Goa to Japan
e06c1bd5-4618-42bd-88a3-d9545b52192d,2025-12-05T02:01:24.225421,social,medium,risk,0.05,"Asia Regional: Traveling to Asia, rainy season?"
52b67f3c-ec53-45be-9a18-ad0677968464,2025-12-05T02:01:24.883749,social,medium,risk,0.05,Asia Regional: Fire-Walking Rituals: When Devotion Walks Barefoot Across Flame
11865e0b-63bf-45c5-905f-4c4c6f17ec37,2025-12-05T02:01:25.707516,social,medium,risk,0.05,"Sri Lanka Social Intelligence Summary: **Executive Summary**

Across the globe, the most prominent trend is a surge in regional solidarity following a devastating cyclone that struck Sri Lanka. The Maldives launched a record‑breaking media campaign, raising one million dollars in a single day, while India and Pakistan dispatched aircraft"
055a4628-70a1-454a-a667-be7ca5b11dc1,2025-12-05T02:23:54.309638,economical,medium,risk,0.05,"Sri Lanka Economic Summary: **Executive Summary – Sri Lanka Economy (as of 2025‑12‑04)**  

1. **Data Availability** – Official macro‑economic indicators are not present in the current feed; only two items are listed, one of which is a placeholder note about missing Reddit posts.  
2. **Stock‑Market Snapshot** – The only actio"
369d8026-e107-4c5f-9d8e-e57b527713d4,2025-12-05T02:23:54.857114,social,medium,risk,0.05,"Sri Lanka Social Intelligence Summary: **Executive Summary**

Global chatter is dominated by high‑profile social unrest and privacy concerns. In Ukraine, a fake viral email about COVID‑19 sparked riots as evacuees rushed to the border, while in Istanbul police dispersed a protest where women sang a viral anti‑rape anthem. A separate stor"
ba0b042f-933d-45ba-9d5b-61d8897605cd,2025-12-05T02:41:41.533695,meteorological,low,opportunity,0.2,"Galle: 𝗪𝗲𝗮𝘁𝗵𝗲𝗿 𝗨𝗽𝗱𝗮𝘁𝗲 – 𝗦𝗿𝗶 𝗟𝗮𝗻𝗸𝗮
Sri Lanka is current… See more"
53390e3f-b2f8-450b-8186-d37e41a73466,2025-12-05T02:41:41.964454,economical,medium,risk,0.05,"Sri Lanka Economy (Tourism): Up close with the gentle giants of Sri Lanka
Where every safari tells a story, and every moment feels magical.
J… See more"
83c5eca4-4e20-4b2f-a9b5-6dd05ff5de99,2025-12-05T02:41:42.451885,economical,medium,risk,0.05,"Sri Lanka Economy (Tourism): ""Status of Tourism Attractions 10:00 hrs – 03 Dec 2025 From Wilpattu to Yala & Kalpitiya to Mirissa, Sri Lanka is ready! … See more"
43c5bc04-ab76-4104-b2fc-c3ccda79ef74,2025-12-05T02:41:42.973038,economical,medium,risk,0.05,"Sri Lanka Economy (Tourism): Status of Tourism Attractions
10:00 hrs – 03 Dec 2025… See more"
